statement,key,year,match_kind,stored_value,expected_from_page,verdict,raw_label,src_pdf_year,note
balance_sheet,RetainedEarnings,2012,mapped,34062645.0,3.40626e+07,PASS,Retained earnings,2013,label='Retained earnings' sheet=34.063
balance_sheet,ShortTermInvestments,2012,absent_on_face,0.0,,NOTE_ONLY,,,alias 'marketable securities' appears only in notes
balance_sheet,StockholdersEquity,2012,mapped,96081173.0,9.60812e+07,PASS,Total shareholders' equity,2013,"label=""Total shareholders' equity"" sheet=96.081"
balance_sheet,TotalAssets,2012,mapped,106197743.0,1.06198e+08,PASS,Total assets,2013,label='Total assets' sheet=106.198
balance_sheet,TotalLiabilities,2012,mapped,10116570.0,1.01166e+07,PASS,Total liabilities,2013,label='Total liabilities' sheet=10.117
balance_sheet,TotalTaxPayable,2012,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,TreasuryStock,2012,absent_on_face,0.0,,NOTE_ONLY,,,alias 'treasury stock' appears only in notes
balance_sheet,WorkInProcess,2012,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,AssetImpairmentCharge,2012,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,BeginningCashPosition,2012,mapped,14049856.0,1.40499e+07,PASS,"CASH, beginning of year",2013,"label='CASH, beginning of year' sheet=14.050"
cash_flow,CapitalExpenditure,2012,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,CashDividendsPaid,2012,mapped,-1742297.0,-1.7423e+06,PASS,Dividend paid 10,2013,label='Dividend paid 10' sheet=-1.742
cash_flow,CashFromDiscontinuedInvestingActivities,2012,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,CashFromDiscontinuedOperatingActivities,2012,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,ChangeInInventory,2012,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,ChangeInOtherWorkingCapital,2012,absent_on_face,0.0,,NOTE_ONLY,,,alias 'deferred revenue' appears only in notes
cash_flow,ChangeInPayablesAndAccruedExpense,2012,mapped,-5838362.0,-5.83836e+06,PASS,Accounts payable and accrued liabilities,2013,label='Accounts payable and accrued liabilities' sheet=-5.838
cash_flow,ChangeInPrepaidAssets,2012,absent_on_face,0.0,,NOTE_ONLY,,,alias 'prepaid expenses' appears only in notes
cash_flow,ChangeInReceivables,2012,mapped,-1176004.0,-1.176e+06,PASS,Prepaid and other amounts receivable,2013,label='Prepaid and other amounts receivable' sheet=-1.176
cash_flow,ChangesInCash,2012,mapped,-6677738.0,-6.67774e+06,PASS,Change in cash for the year,2013,label='Change in cash for the year' sheet=-6.678
cash_flow,DepreciationAmortizationDepletion,2012,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,EffectOfExchangeRateChanges,2012,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,EndCashPosition,2012,mapped,7372118.0,7.37212e+06,PASS,"CASH, end of year",2013,"label='CASH, end of year' sheet=7.372"
