ticker,fill_rate_pct
HAN,75.98
ATLE,76.03
CAN,76.03
MCT.P,76.03
MI.UN,76.03
SU,76.03
MONT,76.08
BLM,76.14
GAL,76.17
AGI,76.2
CNRI,76.24
BUX,76.31
LIBR,76.36
TF,76.36
VGN,76.4
EBCD.P,76.45
AKT.A,76.53
IDK,76.58
ZAC,76.58
CNVI,76.8
HPL,76.8
CBLT,76.81
CVE,76.81
STC,76.85
EPF,76.86
FYL,76.86
KITS,76.86
TCG.P,76.86
TSLV,76.86
WTE,76.86
ZOMD,76.86
VHI,76.93
YOO,77.07
EFN,77.12
MAR.UN,77.13
FSY,77.27
CGG,77.32
CAPT,77.33
OCI,77.34
BMV,77.39
TIH,77.39
AE,77.41
NCAU,77.41
BTB.UN,77.43
PNG,77.45
GIB.A,77.46
KLE.H,77.52
GGL,77.52
PEAK,77.52
PRS.H,77.57
CVVY,77.59
ASTR,77.69
FFP,77.69
GRGD,77.69
MATA,77.69
NUR,77.69
PLAY,77.69
TAI,77.69
CTG,77.82
ECM.H,77.85
STRR,77.85
REKO,77.89
BTR,77.92
QTWO,77.93
DR,77.96
TCW,77.96
PWRO,78.02
HFC,78.03
CAR.UN,78.07
DIV,78.1
REC,78.13
BIR,78.18
SCRI,78.18
GG,78.19
JOLT,78.24
QSP.UN,78.24
FF,78.27
LAS.A,78.27
BCE,78.31
HAI,78.35
TWO,78.36
CMU,78.39
MRU,78.39
PD,78.46
ATRL,78.51
AW,78.51
GFP,78.51
KRI,78.51
NOW,78.51
PALS,78.51
PET,78.51
SWAN,78.51
NTB,78.57
TES,78.6
FVI,78.66
CEMX,78.68
MPTH.H,78.68
RBY,78.68
RSM,78.7
FFC.P,78.72
GRI,78.79
GVR,78.79
RFLX,78.79
CLTE,78.93
CPKR,78.93
HAPB,78.98
GKO,79.01
LIFT,79.01
ABR,79.06
RIC,79.08
PNPN,79.11
FAT,79.13
FW,79.13
QMC,79.17
TPZ,79.17
ARCH,79.18
CEU,79.2
ACO.X,79.34
ACR.H,79.34
BG,79.34
CAPR,79.34
COMT,79.34
CU,79.34
DHT.U,79.34
FRNT,79.34
HBP,79.34
HSLV,79.34
MOO,79.34
NXT,79.34
SQX,79.34
VRTX,79.34
ZLTO,79.34
CAPL.P,79.48
RK,79.49
SYG,79.52
CAS,79.52
TVI,79.53
LGN,79.55
MDI,79.65
IMM,79.75
NVRO,79.75
SATO,79.79
MLO,79.81
LCE,79.82
KFR,79.86
KBX,79.89
TERA,79.89
CMG,79.92
LCFS,80.0
WFC,80.0
QEC,80.02
NXLV,80.04
JAG,80.06
MBI.H,80.1
CCB,80.17
KLN,80.17
PMI,80.17
PRME,80.17
RGSI,80.17
SLO,80.17
WRN,80.17
WMK,80.26
ACD,80.27
ALC,80.4
AMT,80.42
ANON,80.44
ARM,80.44
GGR,80.44
WAVE,80.48
PZA,80.52
GENX,80.55
NXH,80.58
QURI,80.58
SLA,80.58
TWM,80.58
RECO,80.66
NTE,80.68
VXL,80.72
FOR,80.74
ORE,80.83
B,80.85
RMD,80.85
SAE,80.85
CAC.P,80.87
CSTL.P,80.87
ABA,80.89
GTC,80.89
ACQ,80.9
TWC,80.95
ATHR,80.99
DBM,80.99
FFN,80.99
ISTK,80.99
MOC,80.99
MVMD,80.99
NSU,80.99
SEND,80.99
YEG,81.08
BLOK.H,81.1
AUEN,81.11
HFPC.U,81.11
CVV,81.18
NOVA,81.18
STRM,81.2
VRB,81.25
CRCC,81.27
SHOP,81.27
TOC,81.27
SPD,81.29
TUF,81.29
PKT,81.33
LTC,81.4
MTX,81.4
VET,81.4
PEC.H,81.43
GAMA,81.46
MGG,81.47
PPP,81.48
EAGL,81.54
GFG,81.54
PSYC,81.54
TLP.UN,81.54
ZCT,81.54
BAU,81.58
WCSB,81.59
OROG,81.61
CEO.H,81.64
MATE,81.64
ICRS,81.65
EIF,81.71
WEC,81.77
ARWY,81.82
GSKR,81.82
HBFG,81.82
LG,81.82
MRD,81.82
SPRK,81.82
SRR,81.82
STGX,81.82
TINY,81.82
DPM,81.87
ILLM,81.91
ALTR.P,81.96
LSPD,82.0
BARU,82.01
DHB,82.02
BAT,82.08
PNP,82.13
ATR.P,82.15
CNC,82.15
ONE,82.16
WT.H,82.17
A.H,82.21
RML,82.27
RYO,82.3
TTG,82.3
RCR.P,82.31
CF,82.36
PLAS,82.37
NP,82.44
MKP,82.47
BRE,82.48
FTRC,82.48
TRZ,82.6
BK,82.64
IPO,82.64
NIRV.X,82.64
RTH,82.64
ZZE.H,82.64
VLC,82.7
MPVD,82.74
CKI,82.8
HWO,82.8
TK,82.81
CRI,82.85
GAR.H,82.89
CM,82.9
BRO,82.92
DNG,82.92
INFI,82.95
JJJ,83.06
PTEC,83.06
ARIS,83.08
CWL,83.08
APS,83.1
FAN,83.14
GEC,83.2
GOOS,83.23
IZZ,83.25
BP.H,83.26
TTI,83.26
ECO,83.28
GSY,83.28
KTN,83.28
CLUS,83.31
EMM,83.33
BST,83.35
RIO,83.37
AEP,83.4
ADON,83.47
BITK,83.47
EMP.A,83.47
GDV,83.47
VLX,83.47
GNT.H,83.52
TSL,83.55
URC,83.59
ADZ,83.6
CRB,83.61
AQN,83.65
ELEF,83.65
CRTL,83.68
CSL.H,83.69
SBC,83.71
ZFR,83.71
LA,83.72
NCI,83.75
SDE,83.75
CONE,83.8
GWO,83.8
PCP.P,83.8
YAK.H,83.8
VITL.UN,83.83
AAV,83.88
DB,83.88
PLZ.UN,83.92
SEGN,83.97
RGEN,83.98
MUX,84.0
AIR,84.02
TVK,84.04
SPMC,84.06
DLP,84.09
ELYX,84.09
EW,84.15
SGZ,84.15
CSG,84.16
SAWC.P,84.16
WGLD,84.18
ESM,84.19
EXN,84.24
LCS,84.24
ABRA,84.25
EKG,84.25
HEM,84.3
HLS,84.3
OCEN,84.3
RRR.UN,84.3
RSC.P,84.3
VZZ,84.3
GX,84.36
PERU,84.37
ASTN.P,84.39
RTE,84.39
CVB,84.39
EQB,84.42
SM,84.42
WHN,84.42
CSU,84.45
SFI,84.46
CPAU,84.49
RKV,84.53
ALTA,84.55
TMG,84.56
MER,84.6
SVRS,84.63
TD,84.63
AUR.H,84.64
CMI,84.65
IVS,84.66
AG,84.66
ENS,84.71
T,84.74
CFF,84.79
MONA.P,84.79
PLXX.P,84.79
XOX.P,84.79
AVU,84.81
CCMI,84.81
ALTU,84.82
KXS,84.82
XGC,84.83
DYA,84.87
PSD,84.87
LB,84.87
PTE,84.89
AWM,84.92
BHC,84.92
BLCO,84.92
CFY,84.92
DPRO,84.92
